model,snr,final-ser,model-size,model-run-time
Transformer,15,0.0,6960,83.97144985198975
ViterbiNet,15,0.0,7002,88.21506929397583
Transformer,16,0.0,6960,116.52089047431946
ViterbiNet,16,0.0,7002,120.20876383781433
Transformer,17,0.0,6960,92.94675040245056
ViterbiNet,17,0.0,7002,95.18572521209717
Transformer,15,0.0,6960,87.3288254737854
ViterbiNet,15,0.0,7002,82.4480369091034
Transformer,16,0.00011111100514729818,6960,118.54889845848083
ViterbiNet,16,0.0,7002,120.43101263046265
Transformer,17,0.0,6960,94.7669665813446
ViterbiNet,17,0.0,7002,94.57867574691772
Transformer,15,0.00013333257039388022,6960,85.9796712398529
ViterbiNet,15,0.0,7002,82.29716277122498
Transformer,16,0.0,6960,120.21170783042908
ViterbiNet,16,0.0,7002,123.71867847442627
Transformer,17,0.0,6960,95.01986885070801
ViterbiNet,17,0.0,7002,100.3386001586914
Transformer,15,0.0,6960,82.71537494659424
ViterbiNet,15,0.0,7002,85.58508801460266
