model,snr,final-ser,model-size,model-run-time
Transformer,0,0.19488884528477987,6960,171.76364183425903
ViterbiNet,0,0.18522217750549316,7002,74.7952070236206
Transformer,1,0.1589999524752299,6960,170.17231369018555
ViterbiNet,1,0.14888884862263999,7002,71.56831169128418
Transformer,2,0.13988884766896567,6960,180.69240188598633
ViterbiNet,2,0.12522218147913614,7002,78.48040676116943
Transformer,3,0.11244440317153931,6960,171.16487765312195
ViterbiNet,3,0.09977773666381835,7002,76.08818793296814
