model,snr,final-ser,model-size,model-run-time
Transformer,15,0.00014814794063568117,6960,184.55408883094788
ViterbiNet,15,0.00012962877750396728,7002,100.43078947067261
Transformer,17,0.0,6960,178.02751755714417
ViterbiNet,17,1.8518368403116862e-05,7002,99.30528521537781
Transformer,19,0.0,6960,178.53760027885437
ViterbiNet,19,0.0,7002,99.24764347076416
Transformer,15,0.00010185162226359049,6960,178.20104384422302
ViterbiNet,15,0.0002592585484186808,7002,99.34433031082153
Transformer,17,0.0,6960,177.7017104625702
ViterbiNet,17,0.0,7002,100.18382525444031
Transformer,19,0.0,6960,177.09598803520203
ViterbiNet,19,0.0,7002,99.67237663269043
Transformer,15,1.8518368403116862e-05,6960,178.14439272880554
ViterbiNet,15,0.00023148059844970703,7002,99.57180309295654
Transformer,17,0.0,6960,177.81588554382324
ViterbiNet,17,3.7036935488382975e-05,7002,105.79705762863159
Transformer,19,0.0,6960,176.96428442001343
ViterbiNet,19,0.0,7002,100.61089015007019
Transformer,15,4.629611968994141e-05,6960,178.59874367713928
ViterbiNet,15,9.259204069773356e-05,7002,100.49679923057556
Transformer,17,0.00010185142358144124,6960,177.73776769638062
ViterbiNet,17,0.0,7002,100.32715177536011
Transformer,19,0.0,6960,177.1755974292755
ViterbiNet,19,0.0,7002,99.7514750957489
Transformer,15,0.00012962937355041505,6960,178.74644422531128
ViterbiNet,15,0.0003703691562016805,7002,99.64414525032043
Transformer,17,3.7036935488382975e-05,6960,177.6641972064972
ViterbiNet,17,1.8518368403116862e-05,7002,99.92674112319946
Transformer,19,1.8518368403116862e-05,6960,177.15418362617493
ViterbiNet,19,0.0,7002,99.62639379501343
Transformer,15,0.00011111080646514893,6960,178.55121207237244
ViterbiNet,15,0.0002499989668528239,7002,99.58644366264343
Transformer,17,8.333305517832438e-05,6960,177.2170832157135
ViterbiNet,17,0.0,7002,99.6562352180481
Transformer,19,2.7777751286824546e-05,6960,177.83130264282227
ViterbiNet,19,0.0,7002,99.06704831123352
Transformer,15,0.00014814794063568117,6960,178.11414885520935
ViterbiNet,15,0.00011111040910085042,7002,99.5561592578888
Transformer,17,2.7777751286824546e-05,6960,177.0774688720703
ViterbiNet,17,0.0,7002,99.96281385421753
Transformer,19,0.0,6960,176.90232968330383
ViterbiNet,19,0.0,7002,99.72910189628601
Transformer,15,0.00010185142358144124,6960,180.91247868537903
ViterbiNet,15,8.333285649617513e-05,7002,100.57097959518433
Transformer,17,5.555550257364909e-05,6960,179.22370314598083
ViterbiNet,17,0.0,7002,136.31034636497498
Transformer,19,0.0,6960,179.4655523300171
ViterbiNet,19,0.0,7002,101.26417779922485
Transformer,15,0.00011111080646514893,6960,177.97061562538147
ViterbiNet,15,0.00014814754327138266,7002,99.6803503036499
Transformer,17,0.0,6960,177.0367774963379
ViterbiNet,17,1.8518368403116862e-05,7002,99.72560095787048
Transformer,19,0.0,6960,177.15428113937378
ViterbiNet,19,0.0,7002,104.7709448337555
Transformer,15,9.259243806203207e-05,6960,178.35415506362915
ViterbiNet,15,5.555510520935058e-05,7002,99.87894320487976
Transformer,17,0.0,6960,177.95935010910034
ViterbiNet,17,0.0,7002,99.68657684326172
Transformer,19,2.7777751286824546e-05,6960,179.43254470825195
ViterbiNet,19,0.0,7002,99.94435977935791
