model,snr,final-ser,model-size,model-run-time
Transformer,15,0.0,6960,858.563542842865
ViterbiNet,15,0.0,7002,238.87316131591797
Transformer,16,0.0,6960,239.89832639694214
ViterbiNet,16,0.0,7002,192.75694608688354
Transformer,17,0.0,6960,207.47543597221375
ViterbiNet,17,0.0,7002,194.89434361457825
Transformer,15,0.0,6960,233.2325475215912
ViterbiNet,15,0.0,7002,189.94998025894165
Transformer,16,0.0,6960,198.8762125968933
ViterbiNet,16,0.0,7002,190.84794688224792
Transformer,17,0.0,6960,190.3123631477356
ViterbiNet,17,0.0,7002,189.70035243034363
Transformer,15,0.0,6960,193.1612229347229
ViterbiNet,15,0.0,7002,190.18324613571167
Transformer,16,0.0,6960,189.97463393211365
ViterbiNet,16,0.0,7002,190.87127947807312
Transformer,17,0.0,6960,188.36178827285767
ViterbiNet,17,0.0,7002,191.28231024742126
Transformer,15,0.0,6960,196.64733481407166
ViterbiNet,15,0.0,7002,191.5969545841217
