model,snr,final-ser,model-size,model-run-time
Transformer,0,0.18855551461378733,6960,131.534512758255
ViterbiNet,0,0.1798610689242681,7002,72.3328070640564
Transformer,1,0.1643888477484385,6960,121.78215742111206
ViterbiNet,1,0.1572499587138494,7002,65.16704058647156
Transformer,2,0.1395555144548416,6960,114.83197021484375
ViterbiNet,2,0.13194440305233002,7002,65.31671714782715
Transformer,3,0.11863884806632996,6960,114.10844397544861
ViterbiNet,3,0.11030551294485728,7002,64.90276026725769
Transformer,4,0.09783329168955485,6960,113.97668385505676
ViterbiNet,4,0.08708329061667125,7002,64.82318472862244
Transformer,5,0.07955551226933798,6960,113.68648743629456
ViterbiNet,5,0.06558329025904337,7002,64.82441735267639
Transformer,6,0.06286106685797374,6960,113.86649346351624
ViterbiNet,6,0.047499958078066506,7002,64.88307046890259
Transformer,8,0.03477774163087209,6960,113.45232319831848
ViterbiNet,8,0.02424996852874756,7002,64.90244340896606
Transformer,9,0.024361082514127094,6960,113.93646717071533
ViterbiNet,9,0.015555532574653625,7002,64.94995594024658
Transformer,10,0.014999981919924419,6960,113.7418897151947
ViterbiNet,10,0.008777761856714885,7002,65.23736357688904
Transformer,11,0.006083324948946635,6960,113.8852026462555
ViterbiNet,11,0.006972208817799886,7002,65.13347268104553
Transformer,12,0.001972214182217916,6960,128.9307029247284
ViterbiNet,12,0.002249988317489624,7002,83.96654939651489
Transformer,13,0.00104166309038798,6960,130.88262820243835
ViterbiNet,13,0.0011666603883107502,7002,84.24129557609558
Transformer,14,0.0003240734338760376,6960,187.85673809051514
ViterbiNet,14,0.00047222018241882324,7002,102.89357113838196
Transformer,15,5.555550257364909e-05,6960,167.47709846496582
ViterbiNet,15,0.00024999876817067467,7002,100.80017304420471
Transformer,16,9.259243806203207e-05,6960,167.5081832408905
ViterbiNet,16,1.8518368403116862e-05,7002,100.65045022964478
Transformer,17,0.0,6960,167.62337446212769
ViterbiNet,17,1.8518368403116862e-05,7002,100.55569911003113
Transformer,0,0.18619440038998922,6960,113.89980292320251
ViterbiNet,0,0.17880551358064015,7002,65.00163912773132
Transformer,1,0.1614166251818339,6960,113.82423710823059
ViterbiNet,1,0.15544440388679504,7002,64.89991331100464
Transformer,2,0.14083329220612845,6960,113.57944250106812
ViterbiNet,2,0.13313884715239208,7002,64.73402976989746
Transformer,3,0.11988884786764781,6960,114.29725885391235
ViterbiNet,3,0.10886106749375661,7002,65.13299322128296
Transformer,4,0.099916623433431,6960,113.61662745475769
ViterbiNet,4,0.08749995549519857,7002,64.8805181980133
Transformer,5,0.08163884520530701,6960,113.64185690879822
ViterbiNet,5,0.06497217893600464,7002,64.60013008117676
Transformer,6,0.06413884421189626,6960,113.681396484375
ViterbiNet,6,0.04780551513036092,7002,64.95085787773132
Transformer,8,0.03172218680381775,6960,114.18195390701294
ViterbiNet,8,0.025583301385243732,7002,64.79984974861145
Transformer,9,0.023555530309677122,6960,113.35799431800842
ViterbiNet,9,0.014611086249351502,7002,64.96545171737671
Transformer,10,0.01363887349764506,6960,113.98561644554138
ViterbiNet,10,0.010944425463676452,7002,64.74948811531067
Transformer,11,0.006611103018124898,6960,113.78209400177002
ViterbiNet,11,0.006361100872357687,7002,64.86663341522217
Transformer,12,0.0030138768752415975,6960,129.2281436920166
ViterbiNet,12,0.001999990940093994,7002,83.39989972114563
Transformer,13,0.0012361071507136028,6960,128.9197497367859
ViterbiNet,13,0.001624991297721863,7002,83.49547100067139
Transformer,14,0.0003333324193954468,6960,170.45960450172424
ViterbiNet,14,0.0005092575152715048,7002,99.90045022964478
Transformer,15,0.00012036979198455811,6960,179.58225917816162
ViterbiNet,15,0.0001574071248372396,7002,106.4606499671936
Transformer,16,0.0,6960,180.73108196258545
ViterbiNet,16,3.7036736806233724e-05,7002,107.53309059143066
Transformer,17,3.7036935488382975e-05,6960,183.25576376914978
ViterbiNet,17,5.555530389149984e-05,7002,111.78181838989258
Transformer,0,0.18894440094629925,6960,130.06669163703918
ViterbiNet,0,0.1811944035689036,7002,71.91547083854675
Transformer,1,0.16758329212665557,6960,120.91998410224915
ViterbiNet,1,0.15683329224586487,7002,73.84409594535828
Transformer,2,0.14080551346143086,6960,121.9894483089447
ViterbiNet,2,0.13199995815753937,7002,75.6093909740448
Transformer,3,0.12088884770870209,6960,119.49338674545288
ViterbiNet,3,0.10941662510236104,7002,71.95048689842224
Transformer,4,0.09752773423989614,6960,113.63076090812683
ViterbiNet,4,0.08533329168955485,7002,65.19632291793823
Transformer,5,0.08183329105377198,6960,135.85628080368042
ViterbiNet,5,0.06508328914642333,7002,75.75007796287537
Transformer,6,0.06377773423989613,6960,128.5705590248108
ViterbiNet,6,0.04799996097882589,7002,77.28141665458679
Transformer,8,0.03247218648592631,6960,128.95189476013184
ViterbiNet,8,0.022972193161646524,7002,72.54531407356262
Transformer,9,0.0207499756415685,6960,116.72630882263184
ViterbiNet,9,0.017361086209615073,7002,70.85407280921936
Transformer,10,0.011749985218048096,6960,124.00348591804504
ViterbiNet,10,0.009083315928777059,7002,76.15005040168762
Transformer,11,0.006638878981272379,6960,125.03397679328918
ViterbiNet,11,0.004777768651644389,7002,71.62147355079651
Transformer,12,0.0019722147782643635,6960,136.3724763393402
ViterbiNet,12,0.0020694323380788166,7002,87.28718829154968
Transformer,13,0.0007916633288065592,6960,146.6016764640808
ViterbiNet,13,0.0008194400866826376,7002,109.67000818252563
Transformer,14,0.00041666587193806963,6960,201.0990126132965
ViterbiNet,14,0.0003148134549458822,7002,109.32985806465149
Transformer,15,6.481468677520752e-05,6960,193.19359278678894
ViterbiNet,15,0.00026851733525594076,7002,113.36604237556458
Transformer,16,0.0,6960,210.37962245941162
ViterbiNet,16,1.8518368403116862e-05,7002,107.2145209312439
Transformer,17,6.481468677520752e-05,6960,172.87775373458862
ViterbiNet,17,0.0,7002,101.7499725818634
Transformer,0,0.18683329204718271,6960,114.9307758808136
ViterbiNet,0,0.1804999581972758,7002,65.58331346511841
Transformer,1,0.1618055138985316,6960,128.5835256576538
ViterbiNet,1,0.15941662589708963,7002,73.45764541625977
Transformer,2,0.14044440388679505,6960,145.16970586776733
ViterbiNet,2,0.13313884834448497,7002,72.44431042671204
Transformer,3,0.12219440480073293,6960,119.02003812789917
ViterbiNet,3,0.10952773670355478,7002,82.8326849937439
Transformer,4,0.0981666245063146,6960,135.5149073600769
ViterbiNet,4,0.08536106705665589,7002,68.41644668579102
Transformer,5,0.08144440074761708,6960,128.16853976249695
ViterbiNet,5,0.06627773543198903,7002,88.71377730369568
Transformer,6,0.0620832900206248,6960,131.99420833587646
ViterbiNet,6,0.04891662617524465,7002,88.1812732219696
Transformer,8,0.03363885263601939,6960,127.46338868141174
ViterbiNet,8,0.024472191135088604,7002,74.83369994163513
Transformer,9,0.022166638573010763,6960,131.55743646621704
ViterbiNet,9,0.01413886547088623,7002,68.50342535972595
Transformer,10,0.014027759830156961,6960,133.26737189292908
ViterbiNet,10,0.011138870120048524,7002,92.61596035957336
Transformer,11,0.005083324909210205,6960,128.33584260940552
ViterbiNet,11,0.004888880054155985,7002,88.02081561088562
Transformer,12,0.002319435477256775,6960,159.95016074180603
ViterbiNet,12,0.0017361021041870117,7002,126.15503287315369
Transformer,13,0.0009444409608840942,6960,147.72237086296082
ViterbiNet,13,0.00126388152440389,7002,119.41748523712158
Transformer,14,0.00041666587193806963,6960,444.04210329055786
ViterbiNet,14,0.0006203677256902059,7002,115.63703060150146
Transformer,15,9.259204069773356e-05,6960,193.49824571609497
ViterbiNet,15,0.00028703590234120685,7002,112.11960458755493
Transformer,16,2.7777751286824546e-05,6960,183.63822031021118
ViterbiNet,16,3.7036736806233724e-05,7002,111.2535629272461
Transformer,17,2.7777751286824546e-05,6960,191.2042224407196
ViterbiNet,17,3.7036736806233724e-05,7002,118.40920519828796
Transformer,0,0.18566662351290386,6960,138.80537605285645
ViterbiNet,0,0.1812221803267797,7002,79.333176612854
Transformer,1,0.16291662355264028,6960,133.70967507362366
ViterbiNet,1,0.15758329172929128,7002,73.12540793418884
Transformer,2,0.14119440356890361,6960,128.02273440361023
ViterbiNet,2,0.13383329073588054,7002,78.28926038742065
Transformer,3,0.11744440337022145,6960,139.53429532051086
ViterbiNet,3,0.1093610688050588,7002,69.32823133468628
Transformer,4,0.09736107091108957,6960,118.65753245353699
ViterbiNet,4,0.08730551143487295,7002,67.53087401390076
Transformer,5,0.07624995708465576,6960,116.4937653541565
ViterbiNet,5,0.06813884397347768,7002,66.89364504814148
Transformer,6,0.06286106924215952,6960,119.40206170082092
ViterbiNet,6,0.05163884739081065,7002,81.93709659576416
Transformer,8,0.03538885394732157,6960,145.1409397125244
ViterbiNet,8,0.025111077825228374,7002,81.1210412979126
Transformer,9,0.02230552872021993,6960,144.8222794532776
ViterbiNet,9,0.01466664433479309,7002,76.25174689292908
Transformer,10,0.013749983906745911,6960,125.92647433280945
ViterbiNet,10,0.009999983112017314,7002,76.20223903656006
Transformer,11,0.007083324193954468,6960,118.62195324897766
ViterbiNet,11,0.006722207268079122,7002,70.42376661300659
Transformer,12,0.0028749889135360716,6960,138.54997158050537
ViterbiNet,12,0.0017777685324350994,7002,85.3233687877655
Transformer,13,0.0012222184737523396,6960,163.2877173423767
ViterbiNet,13,0.0006666634480158488,7002,87.99727654457092
Transformer,14,0.0003611099720001221,6960,192.88402247428894
ViterbiNet,14,0.0004074052969614665,7002,99.20555019378662
Transformer,15,5.555510520935058e-05,6960,168.57663369178772
ViterbiNet,15,3.7036736806233724e-05,7002,99.59501814842224
Transformer,16,2.7777751286824546e-05,6960,168.57492780685425
ViterbiNet,16,5.555550257364909e-05,7002,99.46247982978821
Transformer,17,0.0,6960,167.98815941810608
ViterbiNet,17,1.8518368403116862e-05,7002,99.46366858482361
Transformer,0,0.1848610685269038,6960,113.52178049087524
ViterbiNet,0,0.18055551290512084,7002,64.24318289756775
Transformer,1,0.16619440297285715,6960,113.33926248550415
